[I 2025-04-07 02:55:29,051] A new study created in RDB with name: catboost
[I 2025-04-07 03:28:28,396] Trial 214 finished with value: 0.8164592020890554 and parameters: {'iterations': 86, 'learning_rate': 0.19049778335757647, 'objective': 'Logloss', 'colsample_bylevel': 0.5650716922067803, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9990197154444855}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:29:21,754] Trial 217 finished with value: 0.8191841296451521 and parameters: {'iterations': 143, 'learning_rate': 0.3200843728734697, 'objective': 'Logloss', 'colsample_bylevel': 0.5449156263153282, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9126346148651521}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:30:53,683] Trial 221 finished with value: 0.8200642813336356 and parameters: {'iterations': 186, 'learning_rate': 0.2585975865743175, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9600400785940444, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8899309982867598}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:32:19,900] Trial 227 finished with value: 0.8179262152915066 and parameters: {'iterations': 181, 'learning_rate': 0.21843202719343946, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9700764564812008, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8654820944153399}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:33:40,624] Trial 232 finished with value: 0.8186809322726386 and parameters: {'iterations': 190, 'learning_rate': 0.17224044107269462, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.6254018759051344, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8911136934434318}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:34:56,739] Trial 237 finished with value: 0.8190580974623108 and parameters: {'iterations': 158, 'learning_rate': 0.24729464487046005, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7752332563476702, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.884850699036511}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:35:25,118] Trial 241 finished with value: 0.818764736996561 and parameters: {'iterations': 150, 'learning_rate': 0.3776824764887109, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9933093786303072, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS', 'subsample': 0.9358356144132676}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:36:24,699] Trial 244 finished with value: 0.81918391877145 and parameters: {'iterations': 168, 'learning_rate': 0.21384341967177528, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.4867429486348308, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.828513494435607}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:36:49,244] Trial 250 finished with value: 0.8205674259877236 and parameters: {'iterations': 182, 'learning_rate': 0.25029171781209375, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.6448909717016745, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9097795609499258}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:37:14,635] Trial 254 finished with value: 0.8141531048516768 and parameters: {'iterations': 181, 'learning_rate': 0.25273625577165265, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.6190144531259145, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 3.1798908300683557}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:37:24,604] Trial 258 finished with value: 0.8179261625730809 and parameters: {'iterations': 177, 'learning_rate': 0.30224553458252906, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.6445417323372233, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9449670840570065}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:37:50,736] Trial 262 finished with value: 0.8191840593539181 and parameters: {'iterations': 188, 'learning_rate': 0.19938848627462677, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7093066337341477, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9344649372399698}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:38:13,913] Trial 267 finished with value: 0.819644976549087 and parameters: {'iterations': 184, 'learning_rate': 0.22718232578499992, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5061133772296775, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9153925746860521}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:38:39,410] Trial 270 finished with value: 0.790298685026737 and parameters: {'iterations': 173, 'learning_rate': 0.002272741951588088, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7717332539401375, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9606026534314811}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:38:53,193] Trial 275 finished with value: 0.8165431825410634 and parameters: {'iterations': 113, 'learning_rate': 0.15206577458369452, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5229761748687732, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9008065916887472}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:39:17,648] Trial 278 finished with value: 0.8191002546299957 and parameters: {'iterations': 191, 'learning_rate': 0.1801926096269939, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5530215312517528, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8788856298848956}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:39:42,949] Trial 282 finished with value: 0.819016045731477 and parameters: {'iterations': 197, 'learning_rate': 0.2223099689014417, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5011977863418171, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9319385751845034}. Best is trial 224 with value: 0.8208191388972359.
