[I 2025-04-07 04:59:49,326] Using an existing study with name 'random-forest' instead of creating a new one.
[I 2025-04-07 05:10:48,948] Trial 198 finished with value: 0.8181776821816994 and parameters: {'n_estimators': 118, 'criterion': 'gini', 'max_depth': 49, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:10:59,381] Trial 204 finished with value: 0.8180938247393513 and parameters: {'n_estimators': 77, 'criterion': 'gini', 'max_depth': 49, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:11:08,185] Trial 208 finished with value: 0.8149077163959575 and parameters: {'n_estimators': 66, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:11:18,569] Trial 211 finished with value: 0.8161654725943265 and parameters: {'n_estimators': 78, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:11:32,713] Trial 215 finished with value: 0.8182196811941076 and parameters: {'n_estimators': 118, 'criterion': 'gini', 'max_depth': 45, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:11:47,100] Trial 219 finished with value: 0.8181776821816994 and parameters: {'n_estimators': 118, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:12:03,091] Trial 223 finished with value: 0.8149915035470714 and parameters: {'n_estimators': 119, 'criterion': 'gini', 'max_depth': 44, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:12:18,845] Trial 227 finished with value: 0.8178842514247154 and parameters: {'n_estimators': 122, 'criterion': 'gini', 'max_depth': 44, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:12:32,854] Trial 231 finished with value: 0.8159139705585167 and parameters: {'n_estimators': 110, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:12:47,624] Trial 235 finished with value: 0.8159558289884565 and parameters: {'n_estimators': 115, 'criterion': 'gini', 'max_depth': 52, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
