[I 2025-04-07 02:55:29,127] Using an existing study with name 'catboost' instead of creating a new one.
[I 2025-04-07 03:11:18,121] Trial 132 finished with value: 0.8191839714898753 and parameters: {'iterations': 198, 'learning_rate': 0.13671619742832472, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7516508343729292, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9645198229628149}. Best is trial 115 with value: 0.8204418331250954.
[I 2025-04-07 03:11:44,460] Trial 136 finished with value: 0.8189745739033251 and parameters: {'iterations': 175, 'learning_rate': 0.18350881056853818, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7289452844214134, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9991902103919047}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:12:26,306] Trial 140 finished with value: 0.8119310583575399 and parameters: {'iterations': 177, 'learning_rate': 0.24167501159096422, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7043004204679506, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.535597173299604}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:13:13,500] Trial 145 finished with value: 0.8188487525941858 and parameters: {'iterations': 183, 'learning_rate': 0.17753692590230882, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7479679337150293, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9160926344140157}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:13:41,332] Trial 149 finished with value: 0.8201482442128348 and parameters: {'iterations': 193, 'learning_rate': 0.20281256040713883, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5685156523463156, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9533700604075596}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:14:10,269] Trial 150 finished with value: 0.8191422360695955 and parameters: {'iterations': 193, 'learning_rate': 0.22077373204731607, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5589426694885267, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9591761480689832}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:15:22,928] Trial 153 finished with value: 0.8194771562275397 and parameters: {'iterations': 171, 'learning_rate': 0.20106723276012306, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7834061430600975, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8638030496979572}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:16:37,861] Trial 158 finished with value: 0.8178426565869037 and parameters: {'iterations': 180, 'learning_rate': 0.17719430885570336, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5923491967109294, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8603438021050304}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:17:43,524] Trial 162 finished with value: 0.8195194012592675 and parameters: {'iterations': 171, 'learning_rate': 0.18892946276724973, 'objective': 'Logloss', 'colsample_bylevel': 0.5445869073516534, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8932361113587584}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:18:51,988] Trial 166 finished with value: 0.8203996759574105 and parameters: {'iterations': 166, 'learning_rate': 0.2817438620553287, 'objective': 'Logloss', 'colsample_bylevel': 0.5552375753840328, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8997138171161255}. Best is trial 135 with value: 0.8204832873804391.
