[I 2025-04-07 05:09:48,173] Trial 180 finished with value: 0.8076132611442357 and parameters: {'n_estimators': 94, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:10:01,480] Trial 184 finished with value: 0.8181777173273164 and parameters: {'n_estimators': 116, 'criterion': 'gini', 'max_depth': 52, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:10:13,508] Trial 188 finished with value: 0.8162074013155005 and parameters: {'n_estimators': 114, 'criterion': 'gini', 'max_depth': 51, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:10:23,923] Trial 192 finished with value: 0.8159557411244137 and parameters: {'n_estimators': 89, 'criterion': 'gini', 'max_depth': 51, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:10:36,350] Trial 196 finished with value: 0.8165847246604494 and parameters: {'n_estimators': 108, 'criterion': 'gini', 'max_depth': 49, 'min_samples_split': 19, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:10:46,490] Trial 201 finished with value: 0.8181357534605253 and parameters: {'n_estimators': 77, 'criterion': 'gini', 'max_depth': 48, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:10:56,634] Trial 202 finished with value: 0.8172553557527223 and parameters: {'n_estimators': 74, 'criterion': 'gini', 'max_depth': 48, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:11:06,237] Trial 206 finished with value: 0.817171515883183 and parameters: {'n_estimators': 70, 'criterion': 'gini', 'max_depth': 49, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:11:16,559] Trial 210 finished with value: 0.815997740136822 and parameters: {'n_estimators': 78, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 9, 'min_samples_leaf': 2}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:11:31,261] Trial 214 finished with value: 0.8182196109028734 and parameters: {'n_estimators': 118, 'criterion': 'gini', 'max_depth': 48, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:11:45,265] Trial 218 finished with value: 0.8099609180738094 and parameters: {'n_estimators': 118, 'criterion': 'gini', 'max_depth': 52, 'min_samples_split': 10, 'min_samples_leaf': 20}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:12:00,666] Trial 222 finished with value: 0.8149076812503404 and parameters: {'n_estimators': 119, 'criterion': 'gini', 'max_depth': 45, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:12:16,073] Trial 226 finished with value: 0.818010055161046 and parameters: {'n_estimators': 120, 'criterion': 'gini', 'max_depth': 43, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:12:30,807] Trial 230 finished with value: 0.8162074891795431 and parameters: {'n_estimators': 111, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:12:45,749] Trial 234 finished with value: 0.8184712183755345 and parameters: {'n_estimators': 114, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:13:00,354] Trial 238 finished with value: 0.8180938950305855 and parameters: {'n_estimators': 115, 'criterion': 'gini', 'max_depth': 56, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:13:12,545] Trial 242 finished with value: 0.8170876408680264 and parameters: {'n_estimators': 107, 'criterion': 'gini', 'max_depth': 29, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:13:25,297] Trial 246 finished with value: 0.8184712183755345 and parameters: {'n_estimators': 113, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:13:36,935] Trial 250 finished with value: 0.8160397040036129 and parameters: {'n_estimators': 105, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:13:48,541] Trial 254 finished with value: 0.815704116078944 and parameters: {'n_estimators': 108, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:13:59,342] Trial 258 finished with value: 0.7542020626962664 and parameters: {'n_estimators': 112, 'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:14:12,062] Trial 262 finished with value: 0.8184292896543605 and parameters: {'n_estimators': 113, 'criterion': 'gini', 'max_depth': 51, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:14:23,466] Trial 268 finished with value: 0.8182615571968558 and parameters: {'n_estimators': 101, 'criterion': 'gini', 'max_depth': 51, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:14:36,144] Trial 272 finished with value: 0.815788166822186 and parameters: {'n_estimators': 114, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 9, 'min_samples_leaf': 2}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:14:47,884] Trial 276 finished with value: 0.8188065954265008 and parameters: {'n_estimators': 108, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:14:58,525] Trial 280 finished with value: 0.8150754488534622 and parameters: {'n_estimators': 98, 'criterion': 'gini', 'max_depth': 56, 'min_samples_split': 10, 'min_samples_leaf': 7}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:15:09,986] Trial 284 finished with value: 0.8163749756177282 and parameters: {'n_estimators': 104, 'criterion': 'gini', 'max_depth': 51, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:15:22,015] Trial 288 finished with value: 0.8163750810545792 and parameters: {'n_estimators': 109, 'criterion': 'gini', 'max_depth': 55, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:15:33,547] Trial 292 finished with value: 0.8113024438504836 and parameters: {'n_estimators': 109, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 10, 'min_samples_leaf': 16}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:15:46,411] Trial 296 finished with value: 0.815787938375675 and parameters: {'n_estimators': 114, 'criterion': 'gini', 'max_depth': 52, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:15:57,612] Trial 301 finished with value: 0.8176747132556967 and parameters: {'n_estimators': 99, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 8, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:16:09,008] Trial 304 finished with value: 0.8162492070270148 and parameters: {'n_estimators': 105, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:16:20,194] Trial 308 finished with value: 0.8182615571968558 and parameters: {'n_estimators': 101, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:16:32,008] Trial 312 finished with value: 0.8145723393449913 and parameters: {'n_estimators': 111, 'criterion': 'gini', 'max_depth': 56, 'min_samples_split': 10, 'min_samples_leaf': 8}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:16:44,419] Trial 317 finished with value: 0.8154525261790916 and parameters: {'n_estimators': 115, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:16:55,830] Trial 321 finished with value: 0.8186807741173618 and parameters: {'n_estimators': 107, 'criterion': 'gini', 'max_depth': 58, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:17:08,148] Trial 325 finished with value: 0.8162072607330322 and parameters: {'n_estimators': 107, 'criterion': 'gini', 'max_depth': 57, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:17:21,380] Trial 329 finished with value: 0.8166266182360061 and parameters: {'n_estimators': 103, 'criterion': 'gini', 'max_depth': 59, 'min_samples_split': 12, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:17:36,819] Trial 333 finished with value: 0.8178422699851158 and parameters: {'n_estimators': 123, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:17:52,454] Trial 337 finished with value: 0.8185131119510913 and parameters: {'n_estimators': 111, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:18:06,948] Trial 342 finished with value: 0.8162072607330322 and parameters: {'n_estimators': 107, 'criterion': 'gini', 'max_depth': 55, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:18:18,913] Trial 346 finished with value: 0.8161654023030923 and parameters: {'n_estimators': 92, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:18:33,010] Trial 349 finished with value: 0.8168362618418763 and parameters: {'n_estimators': 99, 'criterion': 'entropy', 'max_depth': 52, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:18:44,287] Trial 353 finished with value: 0.8186808619814044 and parameters: {'n_estimators': 104, 'criterion': 'gini', 'max_depth': 51, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:18:55,015] Trial 357 finished with value: 0.8119314098137107 and parameters: {'n_estimators': 103, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 9, 'min_samples_leaf': 14}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:19:05,499] Trial 361 finished with value: 0.81826162748809 and parameters: {'n_estimators': 96, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:19:16,398] Trial 365 finished with value: 0.8182615923424729 and parameters: {'n_estimators': 103, 'criterion': 'gini', 'max_depth': 52, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:19:27,652] Trial 369 finished with value: 0.8162073310242663 and parameters: {'n_estimators': 101, 'criterion': 'gini', 'max_depth': 56, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:19:37,477] Trial 373 finished with value: 0.8167943682663195 and parameters: {'n_estimators': 91, 'criterion': 'gini', 'max_depth': 58, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:19:48,309] Trial 377 finished with value: 0.8149495748258975 and parameters: {'n_estimators': 95, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:19:59,463] Trial 381 finished with value: 0.8185969518206309 and parameters: {'n_estimators': 105, 'criterion': 'gini', 'max_depth': 55, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:20:11,046] Trial 385 finished with value: 0.8160396512851873 and parameters: {'n_estimators': 104, 'criterion': 'gini', 'max_depth': 56, 'min_samples_split': 10, 'min_samples_leaf': 6}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:20:23,047] Trial 389 finished with value: 0.8166267588184747 and parameters: {'n_estimators': 102, 'criterion': 'gini', 'max_depth': 26, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:20:35,826] Trial 393 finished with value: 0.8159138475488568 and parameters: {'n_estimators': 98, 'criterion': 'gini', 'max_depth': 57, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:20:49,075] Trial 397 finished with value: 0.8155366472135677 and parameters: {'n_estimators': 106, 'criterion': 'gini', 'max_depth': 52, 'min_samples_split': 9, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:21:03,189] Trial 401 finished with value: 0.8158720594101512 and parameters: {'n_estimators': 107, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:21:16,792] Trial 406 finished with value: 0.817464946640167 and parameters: {'n_estimators': 102, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 15, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:21:30,764] Trial 410 finished with value: 0.818345414639204 and parameters: {'n_estimators': 101, 'criterion': 'gini', 'max_depth': 52, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:21:44,663] Trial 414 finished with value: 0.8165426377839985 and parameters: {'n_estimators': 108, 'criterion': 'gini', 'max_depth': 55, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:21:58,169] Trial 418 finished with value: 0.8152429704372641 and parameters: {'n_estimators': 92, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:22:12,073] Trial 421 finished with value: 0.8186389332602305 and parameters: {'n_estimators': 104, 'criterion': 'gini', 'max_depth': 55, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:22:25,805] Trial 425 finished with value: 0.8167104405327372 and parameters: {'n_estimators': 104, 'criterion': 'entropy', 'max_depth': 57, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:22:36,460] Trial 429 finished with value: 0.8151591481405331 and parameters: {'n_estimators': 97, 'criterion': 'gini', 'max_depth': 57, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:22:45,854] Trial 433 finished with value: 0.8170879396057715 and parameters: {'n_estimators': 87, 'criterion': 'gini', 'max_depth': 55, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:22:58,198] Trial 436 finished with value: 0.8162912236122313 and parameters: {'n_estimators': 110, 'criterion': 'gini', 'max_depth': 33, 'min_samples_split': 14, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:23:10,731] Trial 440 finished with value: 0.8173393537775387 and parameters: {'n_estimators': 106, 'criterion': 'gini', 'max_depth': 51, 'min_samples_split': 8, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
