[I 2025-04-07 01:41:33,177] Using an existing study with name 'adaboost' instead of creating a new one.
[I 2025-04-07 02:25:21,965] Trial 577 finished with value: 0.8166687226852657 and parameters: {'n_estimators': 57, 'learning_rate': 0.03418313868539421, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 59, 'min_samples_leaf': 15}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:27:17,827] Trial 594 finished with value: 0.8149495045346633 and parameters: {'n_estimators': 63, 'learning_rate': 0.05621979942420167, 'criterion': 'log_loss', 'max_depth': 18, 'min_samples_split': 60, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:28:42,696] Trial 613 finished with value: 0.8168781729902419 and parameters: {'n_estimators': 60, 'learning_rate': 0.015420855654096467, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 56, 'min_samples_leaf': 19}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:29:40,907] Trial 627 finished with value: 0.8150755718631219 and parameters: {'n_estimators': 41, 'learning_rate': 0.024853535169403855, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 56, 'min_samples_leaf': 14}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:31:01,671] Trial 639 finished with value: 0.8161655780311776 and parameters: {'n_estimators': 58, 'learning_rate': 0.04366365773925329, 'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 58, 'min_samples_leaf': 28}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:32:27,220] Trial 651 finished with value: 0.8161237723196635 and parameters: {'n_estimators': 56, 'learning_rate': 0.04359415612921053, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 59, 'min_samples_leaf': 24}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:33:44,865] Trial 669 finished with value: 0.8167104229599287 and parameters: {'n_estimators': 52, 'learning_rate': 0.066119565213925, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 55, 'min_samples_leaf': 15}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:35:25,787] Trial 688 finished with value: 0.8162491191629722 and parameters: {'n_estimators': 55, 'learning_rate': 0.03448401079750677, 'criterion': 'log_loss', 'max_depth': 17, 'min_samples_split': 57, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:36:28,098] Trial 708 finished with value: 0.8171297980357115 and parameters: {'n_estimators': 38, 'learning_rate': 0.035546602054161054, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 57, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:37:48,333] Trial 721 finished with value: 0.8167525449819968 and parameters: {'n_estimators': 51, 'learning_rate': 0.022015412894153912, 'criterion': 'log_loss', 'max_depth': 14, 'min_samples_split': 58, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:39:13,713] Trial 736 finished with value: 0.8173812297802872 and parameters: {'n_estimators': 52, 'learning_rate': 0.02802520038389809, 'criterion': 'log_loss', 'max_depth': 14, 'min_samples_split': 56, 'min_samples_leaf': 15}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:40:41,699] Trial 751 finished with value: 0.8155365769223334 and parameters: {'n_estimators': 54, 'learning_rate': 0.015502019181774681, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 60, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:42:04,336] Trial 767 finished with value: 0.816165718613646 and parameters: {'n_estimators': 55, 'learning_rate': 0.032365214419081995, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 55, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
訓練集準確率: 0.8659288139856621
測試集準確率: 0.8076794097920859
10-fold CV 準確率:  0.8187649127246465

