[I 2025-04-07 03:57:39,089] A new study created in RDB with name: lightgbm
[I 2025-04-07 03:58:43,978] Trial 27 finished with value: 0.8192259705022835 and parameters: {'lambda_l1': 0.0004911704006584041, 'lambda_l2': 0.02251814744370071, 'num_leaves': 38, 'feature_fraction': 0.6758100475709493, 'bagging_fraction': 0.6604057696688265, 'bagging_freq': 9, 'min_child_samples': 92}. Best is trial 14 with value: 0.8197708857222687.
[I 2025-04-07 03:58:45,240] Trial 28 finished with value: 0.8188905407328916 and parameters: {'lambda_l1': 0.0033463005139384174, 'lambda_l2': 0.4810634700094519, 'num_leaves': 20, 'feature_fraction': 0.9691807721727967, 'bagging_fraction': 0.7300420027883925, 'bagging_freq': 8, 'min_child_samples': 83}. Best is trial 14 with value: 0.8197708857222687.
[I 2025-04-07 03:58:48,161] Trial 29 finished with value: 0.8176331008450763 and parameters: {'lambda_l1': 3.0332243629195096e-05, 'lambda_l2': 0.0013371358379111224, 'num_leaves': 81, 'feature_fraction': 0.5294620422715304, 'bagging_fraction': 0.8592656923049489, 'bagging_freq': 12, 'min_child_samples': 72}. Best is trial 14 with value: 0.8197708857222687.
[I 2025-04-07 03:58:50,954] Trial 30 finished with value: 0.8188066657177352 and parameters: {'lambda_l1': 2.6282358930719223, 'lambda_l2': 0.20445061715853377, 'num_leaves': 53, 'feature_fraction': 0.9181964692890483, 'bagging_fraction': 0.6749668099862246, 'bagging_freq': 6, 'min_child_samples': 71}. Best is trial 14 with value: 0.8197708857222687.
[I 2025-04-07 03:58:52,458] Trial 31 finished with value: 0.8199384248788795 and parameters: {'lambda_l1': 0.0004563408889283564, 'lambda_l2': 0.016976304325020196, 'num_leaves': 38, 'feature_fraction': 0.6990609628995731, 'bagging_fraction': 0.6570701408657561, 'bagging_freq': 9, 'min_child_samples': 91}. Best is trial 31 with value: 0.8199384248788795.
[I 2025-04-07 03:58:53,991] Trial 32 finished with value: 0.8189744508936652 and parameters: {'lambda_l1': 0.0023274871930401386, 'lambda_l2': 7.927364437822188e-05, 'num_leaves': 35, 'feature_fraction': 0.6378631519581016, 'bagging_fraction': 0.7503820223095409, 'bagging_freq': 10, 'min_child_samples': 86}. Best is trial 31 with value: 0.8199384248788795.
[I 2025-04-07 03:58:55,123] Trial 33 finished with value: 0.8201484375137287 and parameters: {'lambda_l1': 0.00021547106865303257, 'lambda_l2': 0.07468954422093273, 'num_leaves': 22, 'feature_fraction': 0.5920218504989901, 'bagging_fraction': 0.6678289694844042, 'bagging_freq': 11, 'min_child_samples': 98}. Best is trial 33 with value: 0.8201484375137287.
[I 2025-04-07 03:58:56,092] Trial 34 finished with value: 0.8173809661881591 and parameters: {'lambda_l1': 0.054152313006499385, 'lambda_l2': 0.08966900474175232, 'num_leaves': 17, 'feature_fraction': 0.5905964163462394, 'bagging_fraction': 0.5865721715536742, 'bagging_freq': 12, 'min_child_samples': 105}. Best is trial 33 with value: 0.8201484375137287.
[I 2025-04-07 03:58:58,449] Trial 35 finished with value: 0.8180937193025001 and parameters: {'lambda_l1': 1.598800322629749e-05, 'lambda_l2': 0.0018957853650659327, 'num_leaves': 64, 'feature_fraction': 0.5054475916240184, 'bagging_fraction': 0.6677437428374742, 'bagging_freq': 13, 'min_child_samples': 118}. Best is trial 33 with value: 0.8201484375137287.
[I 2025-04-07 03:58:59,049] Trial 36 finished with value: 0.7643056719754121 and parameters: {'lambda_l1': 0.7911302709669077, 'lambda_l2': 0.015026577296404013, 'num_leaves': 2, 'feature_fraction': 0.5947881566125415, 'bagging_fraction': 0.6325522172479717, 'bagging_freq': 10, 'min_child_samples': 101}. Best is trial 33 with value: 0.8201484375137287.
