[I 2025-04-07 02:55:29,052] Using an existing study with name 'catboost' instead of creating a new one.
[I 2025-04-07 03:21:32,320] Trial 180 finished with value: 0.8183875366612717 and parameters: {'iterations': 166, 'learning_rate': 0.288854864273559, 'objective': 'Logloss', 'colsample_bylevel': 0.613641037466281, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8721324273032759}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:22:47,085] Trial 183 finished with value: 0.8076969955769242 and parameters: {'iterations': 192, 'learning_rate': 0.02827891552926751, 'objective': 'Logloss', 'colsample_bylevel': 0.5525027120246251, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9810060054262402}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:23:54,671] Trial 188 finished with value: 0.8187226149744931 and parameters: {'iterations': 161, 'learning_rate': 0.38035600963361, 'objective': 'Logloss', 'colsample_bylevel': 0.5612302280650583, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9068540669894792}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:25:00,669] Trial 192 finished with value: 0.8183875015156546 and parameters: {'iterations': 174, 'learning_rate': 0.3364746184338589, 'objective': 'Logloss', 'colsample_bylevel': 0.5161434641731103, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9539133963157369}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:25:36,407] Trial 196 finished with value: 0.8203159239519138 and parameters: {'iterations': 97, 'learning_rate': 0.27839504839958884, 'objective': 'Logloss', 'colsample_bylevel': 0.46865168455295325, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9797893963774538}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:26:26,751] Trial 200 finished with value: 0.8187646491325182 and parameters: {'iterations': 135, 'learning_rate': 0.22839771457022873, 'objective': 'Logloss', 'colsample_bylevel': 0.46942007732678004, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9765982957269409}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:27:05,886] Trial 204 finished with value: 0.8188904177232317 and parameters: {'iterations': 118, 'learning_rate': 0.2264488873821188, 'objective': 'Logloss', 'colsample_bylevel': 0.40377908106305677, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.925781298590277}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:27:55,591] Trial 209 finished with value: 0.8188066305721179 and parameters: {'iterations': 129, 'learning_rate': 0.2663918797049851, 'objective': 'Logloss', 'colsample_bylevel': 0.5356125040601615, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.943179404479317}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:28:13,053] Trial 213 finished with value: 0.8183455903672894 and parameters: {'iterations': 126, 'learning_rate': 0.1831080059639136, 'objective': 'Logloss', 'colsample_bylevel': 0.5617343957815094, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9560965813763106}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:28:45,683] Trial 216 finished with value: 0.8192677059225636 and parameters: {'iterations': 96, 'learning_rate': 0.32191218053662946, 'objective': 'Logloss', 'colsample_bylevel': 0.511992508030986, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9993716181801641}. Best is trial 177 with value: 0.8206089681071098.
