[I 2025-04-07 06:01:59,126] A new study created in RDB with name: xgboost
[I 2025-04-07 06:04:03,372] Trial 29 finished with value: 0.7957908906075096 and parameters: {'max_depth': 20, 'learning_rate': 0.00939905044602187, 'n_estimators': 78, 'gamma': 0.41974666108859726, 'min_child_weight': 4, 'subsample': 0.7967858429167303, 'colsample_bytree': 0.8470516246809647}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:04:06,317] Trial 30 finished with value: 0.8163743781422379 and parameters: {'max_depth': 18, 'learning_rate': 0.06609979675039697, 'n_estimators': 130, 'gamma': 0.47361164022909996, 'min_child_weight': 7, 'subsample': 0.5487373228001186, 'colsample_bytree': 0.7960758845581437}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:04:08,172] Trial 31 finished with value: 0.8165846719420238 and parameters: {'max_depth': 26, 'learning_rate': 0.02935252019950047, 'n_estimators': 64, 'gamma': 0.25322848191675784, 'min_child_weight': 5, 'subsample': 0.5384017375958072, 'colsample_bytree': 0.831279908238531}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:04:10,155] Trial 32 finished with value: 0.7166815156898821 and parameters: {'max_depth': 22, 'learning_rate': 0.006058259036090779, 'n_estimators': 71, 'gamma': 0.28310179218627546, 'min_child_weight': 5, 'subsample': 0.5082111960876489, 'colsample_bytree': 0.812515400708172}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:04:11,834] Trial 33 finished with value: 0.8052236052022541 and parameters: {'max_depth': 28, 'learning_rate': 0.016680546632021384, 'n_estimators': 50, 'gamma': 0.21998498889572893, 'min_child_weight': 5, 'subsample': 0.64154042348427, 'colsample_bytree': 0.8683948132883672}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:04:15,252] Trial 34 finished with value: 0.8197709208678858 and parameters: {'max_depth': 30, 'learning_rate': 0.03518256202162132, 'n_estimators': 101, 'gamma': 0.35710269225123104, 'min_child_weight': 6, 'subsample': 0.5816203154226439, 'colsample_bytree': 0.9531880847761396}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:04:17,970] Trial 35 finished with value: 0.7651866144402797 and parameters: {'max_depth': 30, 'learning_rate': 0.004710689176174689, 'n_estimators': 101, 'gamma': 0.393927141127008, 'min_child_weight': 6, 'subsample': 0.5944825849418243, 'colsample_bytree': 0.9672708616710692}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:04:22,975] Trial 36 finished with value: 0.8177164311031682 and parameters: {'max_depth': 29, 'learning_rate': 0.045446138772835286, 'n_estimators': 180, 'gamma': 0.3498275173382699, 'min_child_weight': 6, 'subsample': 0.5830891429077991, 'colsample_bytree': 0.9465229300052636}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:04:38,258] Trial 37 finished with value: 0.8150751852613339 and parameters: {'max_depth': 32, 'learning_rate': 0.012666584250227843, 'n_estimators': 205, 'gamma': 0.49465200316692504, 'min_child_weight': 1, 'subsample': 0.8270540000832383, 'colsample_bytree': 0.9963193377206938}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:04:40,890] Trial 38 finished with value: 0.8147397906375591 and parameters: {'max_depth': 30, 'learning_rate': 0.10664626673473412, 'n_estimators': 90, 'gamma': 0.0027425303432495607, 'min_child_weight': 7, 'subsample': 0.6226271565773636, 'colsample_bytree': 0.9142886688409666}. Best is trial 22 with value: 0.8198546553005741.
