[I 2025-04-08 00:10:28,845] A new study created in RDB with name: lightgbm-num_features-13
[I 2025-04-08 00:11:26,130] Trial 27 finished with value: 0.8206513185756888 and parameters: {'lambda_l1': 6.0709968706086034e-05, 'lambda_l2': 0.011697590842471604, 'num_leaves': 69, 'feature_fraction': 0.5347451156740487, 'bagging_fraction': 0.7671198854049097, 'bagging_freq': 2, 'min_child_samples': 115}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:11:29,324] Trial 28 finished with value: 0.8171296750260517 and parameters: {'lambda_l1': 0.00010064305494479362, 'lambda_l2': 0.01977818954716421, 'num_leaves': 103, 'feature_fraction': 0.5967265902610966, 'bagging_fraction': 0.7691510509785954, 'bagging_freq': 2, 'min_child_samples': 114}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:11:31,968] Trial 29 finished with value: 0.817297337192322 and parameters: {'lambda_l1': 0.0038699167547892356, 'lambda_l2': 0.7044437588789723, 'num_leaves': 69, 'feature_fraction': 0.6994603803048861, 'bagging_fraction': 0.7358210701747028, 'bagging_freq': 9, 'min_child_samples': 125}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:11:34,768] Trial 30 finished with value: 0.8175908733861572 and parameters: {'lambda_l1': 6.5994881314351316e-09, 'lambda_l2': 1.9664333745965725e-07, 'num_leaves': 102, 'feature_fraction': 0.4639156177053404, 'bagging_fraction': 0.6542026691406082, 'bagging_freq': 8, 'min_child_samples': 90}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:11:36,177] Trial 31 finished with value: 0.8198964785848968 and parameters: {'lambda_l1': 1.3830411409557264e-06, 'lambda_l2': 0.0027012172756177948, 'num_leaves': 32, 'feature_fraction': 0.5379605903867789, 'bagging_fraction': 0.8450871979622693, 'bagging_freq': 2, 'min_child_samples': 110}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:11:38,554] Trial 32 finished with value: 0.8173811770618615 and parameters: {'lambda_l1': 1.3854069964009167e-07, 'lambda_l2': 6.258501794172951e-05, 'num_leaves': 70, 'feature_fraction': 0.48888908465371345, 'bagging_fraction': 0.8001211907142741, 'bagging_freq': 5, 'min_child_samples': 95}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:11:41,234] Trial 33 finished with value: 0.8184292720815518 and parameters: {'lambda_l1': 8.432870782477226e-05, 'lambda_l2': 0.0005439099511894838, 'num_leaves': 55, 'feature_fraction': 0.5610782405100269, 'bagging_fraction': 0.8530016407648968, 'bagging_freq': 3, 'min_child_samples': 119}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:11:44,504] Trial 34 finished with value: 0.8182193473107452 and parameters: {'lambda_l1': 0.38623062002200276, 'lambda_l2': 2.9099007925435854, 'num_leaves': 83, 'feature_fraction': 0.6155258459924597, 'bagging_fraction': 0.800235987055952, 'bagging_freq': 4, 'min_child_samples': 69}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:11:46,146] Trial 35 finished with value: 0.8194352802247913 and parameters: {'lambda_l1': 0.07058579745624903, 'lambda_l2': 0.17494428444047241, 'num_leaves': 40, 'feature_fraction': 0.5319006642644725, 'bagging_fraction': 0.9197524726139308, 'bagging_freq': 1, 'min_child_samples': 51}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:11:49,288] Trial 36 finished with value: 0.8161654901671349 and parameters: {'lambda_l1': 5.460697372075743e-09, 'lambda_l2': 9.608472902275192e-06, 'num_leaves': 92, 'feature_fraction': 0.6742978023984845, 'bagging_fraction': 0.6817282393141753, 'bagging_freq': 4, 'min_child_samples': 86}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:11:51,753] Trial 37 finished with value: 0.8200642637608271 and parameters: {'lambda_l1': 2.296581647915103e-06, 'lambda_l2': 0.00526795007804926, 'num_leaves': 49, 'feature_fraction': 0.5645467646825346, 'bagging_fraction': 0.7890333444876276, 'bagging_freq': 2, 'min_child_samples': 98}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:11:54,138] Trial 38 finished with value: 0.8193515633649117 and parameters: {'lambda_l1': 5.245262780426017e-08, 'lambda_l2': 0.02700882872798439, 'num_leaves': 63, 'feature_fraction': 0.570775305470359, 'bagging_fraction': 0.7406099123512554, 'bagging_freq': 2, 'min_child_samples': 110}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:11:56,505] Trial 39 finished with value: 0.8185968112381625 and parameters: {'lambda_l1': 0.002481048761619716, 'lambda_l2': 0.004461695728343332, 'num_leaves': 50, 'feature_fraction': 0.8608882096680225, 'bagging_fraction': 0.792060463010629, 'bagging_freq': 12, 'min_child_samples': 99}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:11:57,800] Trial 40 finished with value: 0.8126440574912005 and parameters: {'lambda_l1': 1.6853329354149673e-06, 'lambda_l2': 86.51127495969438, 'num_leaves': 26, 'feature_fraction': 0.43859063706751955, 'bagging_fraction': 0.6919117388026536, 'bagging_freq': 6, 'min_child_samples': 123}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:11:59,597] Trial 41 finished with value: 0.8192676707769466 and parameters: {'lambda_l1': 3.234380499494579e-05, 'lambda_l2': 0.00015877319846594406, 'num_leaves': 44, 'feature_fraction': 0.48376989729975484, 'bagging_fraction': 0.8600228473975858, 'bagging_freq': 3, 'min_child_samples': 92}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:12:02,814] Trial 42 finished with value: 0.8176329251169909 and parameters: {'lambda_l1': 0.0002752923963285436, 'lambda_l2': 0.10802085637703235, 'num_leaves': 74, 'feature_fraction': 0.5202465627813303, 'bagging_fraction': 0.7823912089140139, 'bagging_freq': 1, 'min_child_samples': 101}. Best is trial 27 with value: 0.8206513185756888.
