[I 2025-04-08 19:29:23,868] A new study created in RDB with name: xgboost-num_features-13
[I 2025-04-08 19:32:05,116] Trial 28 finished with value: 0.8128955595270103 and parameters: {'max_depth': 23, 'learning_rate': 0.06873374713830621, 'n_estimators': 216, 'gamma': 0.3185638382004246, 'min_child_weight': 4, 'subsample': 0.6127379276787895, 'colsample_bytree': 0.8137224455184672}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:32:10,585] Trial 29 finished with value: 0.8176328548257568 and parameters: {'max_depth': 18, 'learning_rate': 0.015608385488762885, 'n_estimators': 189, 'gamma': 0.4538279573142084, 'min_child_weight': 3, 'subsample': 0.6759170582455256, 'colsample_bytree': 0.7367884580074028}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:32:14,375] Trial 30 finished with value: 0.6377394866279713 and parameters: {'max_depth': 15, 'learning_rate': 0.0007803794259488408, 'n_estimators': 133, 'gamma': 0.15112540401208754, 'min_child_weight': 2, 'subsample': 0.5257076490471115, 'colsample_bytree': 0.8434070863888214}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:32:20,732] Trial 31 finished with value: 0.8199387236166246 and parameters: {'max_depth': 19, 'learning_rate': 0.018397019209011406, 'n_estimators': 246, 'gamma': 0.2591408056059127, 'min_child_weight': 5, 'subsample': 0.6136327557353405, 'colsample_bytree': 0.8454510432380679}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:32:27,397] Trial 32 finished with value: 0.8163329238868944 and parameters: {'max_depth': 20, 'learning_rate': 0.0328741069806708, 'n_estimators': 247, 'gamma': 0.29099807951505746, 'min_child_weight': 4, 'subsample': 0.6106919608329759, 'colsample_bytree': 0.7753071422923858}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:32:32,800] Trial 33 finished with value: 0.806062074188883 and parameters: {'max_depth': 29, 'learning_rate': 0.004158892812815522, 'n_estimators': 205, 'gamma': 0.38725226191544493, 'min_child_weight': 5, 'subsample': 0.6903861142909629, 'colsample_bytree': 0.8477606849006163}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:32:37,246] Trial 34 finished with value: 0.7981383190905721 and parameters: {'max_depth': 23, 'learning_rate': 0.34631844844507353, 'n_estimators': 222, 'gamma': 0.17762052383578153, 'min_child_weight': 4, 'subsample': 0.7216134603908353, 'colsample_bytree': 0.8076804212025388}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:32:42,331] Trial 35 finished with value: 0.7622521487151641 and parameters: {'max_depth': 14, 'learning_rate': 0.002322551787334919, 'n_estimators': 253, 'gamma': 0.31308339109226413, 'min_child_weight': 6, 'subsample': 0.6261131091286454, 'colsample_bytree': 0.7103432848432347}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:32:46,640] Trial 36 finished with value: 0.8175909261045827 and parameters: {'max_depth': 19, 'learning_rate': 0.04787195147327455, 'n_estimators': 174, 'gamma': 0.27187534151892867, 'min_child_weight': 5, 'subsample': 0.5909914534197879, 'colsample_bytree': 0.7558439914778139}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:32:50,979] Trial 37 finished with value: 0.8184294302368287 and parameters: {'max_depth': 17, 'learning_rate': 0.016077557914389046, 'n_estimators': 198, 'gamma': 0.20765374736788555, 'min_child_weight': 7, 'subsample': 0.5347273299443377, 'colsample_bytree': 0.6459528330430779}. Best is trial 0 with value: 0.8209028733299242.
