[I 2025-04-07 22:09:15,617] Trial 47 finished with value: 0.816333169906214 and parameters: {'n_estimators': 156, 'criterion': 'gini', 'max_depth': 25, 'min_samples_split': 7, 'min_samples_leaf': 4}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:09:25,344] Trial 48 finished with value: 0.8170038888625296 and parameters: {'n_estimators': 90, 'criterion': 'entropy', 'max_depth': 38, 'min_samples_split': 5, 'min_samples_leaf': 2}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:09:36,131] Trial 49 finished with value: 0.8070682756330164 and parameters: {'n_estimators': 122, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 11, 'min_samples_leaf': 17}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:09:43,605] Trial 50 finished with value: 0.8141951565825105 and parameters: {'n_estimators': 98, 'criterion': 'gini', 'max_depth': 18, 'min_samples_split': 5, 'min_samples_leaf': 7}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:09:50,897] Trial 51 finished with value: 0.817465210232295 and parameters: {'n_estimators': 81, 'criterion': 'gini', 'max_depth': 35, 'min_samples_split': 14, 'min_samples_leaf': 1}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:09:58,760] Trial 52 finished with value: 0.816626477653538 and parameters: {'n_estimators': 75, 'criterion': 'gini', 'max_depth': 41, 'min_samples_split': 20, 'min_samples_leaf': 1}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:10:01,533] Trial 53 finished with value: 0.8147399136472189 and parameters: {'n_estimators': 19, 'criterion': 'gini', 'max_depth': 37, 'min_samples_split': 18, 'min_samples_leaf': 3}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:10:11,371] Trial 54 finished with value: 0.816836349705919 and parameters: {'n_estimators': 112, 'criterion': 'gini', 'max_depth': 43, 'min_samples_split': 15, 'min_samples_leaf': 2}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:10:20,139] Trial 55 finished with value: 0.8167942101110425 and parameters: {'n_estimators': 86, 'criterion': 'gini', 'max_depth': 31, 'min_samples_split': 12, 'min_samples_leaf': 1}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:10:26,879] Trial 56 finished with value: 0.8160817205888297 and parameters: {'n_estimators': 72, 'criterion': 'gini', 'max_depth': 27, 'min_samples_split': 10, 'min_samples_leaf': 4}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:10:33,401] Trial 57 finished with value: 0.8166266885272405 and parameters: {'n_estimators': 56, 'criterion': 'gini', 'max_depth': 55, 'min_samples_split': 9, 'min_samples_leaf': 3}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:10:44,475] Trial 58 finished with value: 0.8167943331207024 and parameters: {'n_estimators': 108, 'criterion': 'gini', 'max_depth': 60, 'min_samples_split': 3, 'min_samples_leaf': 2}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:10:56,074] Trial 59 finished with value: 0.8168361739778337 and parameters: {'n_estimators': 126, 'criterion': 'entropy', 'max_depth': 23, 'min_samples_split': 8, 'min_samples_leaf': 1}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:11:14,110] Trial 60 finished with value: 0.7513509623748597 and parameters: {'n_estimators': 192, 'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 13, 'min_samples_leaf': 5}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:11:21,147] Trial 61 finished with value: 0.817465210232295 and parameters: {'n_estimators': 81, 'criterion': 'gini', 'max_depth': 35, 'min_samples_split': 14, 'min_samples_leaf': 1}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:11:22,382] A new study created in RDB with name: random-forest-num_features-12
