[I 2025-04-07 22:00:09,568] A new study created in RDB with name: catboost-num_features-13
[I 2025-04-07 22:10:03,905] Trial 30 finished with value: 0.8167522989626772 and parameters: {'iterations': 121, 'learning_rate': 0.6739723725651863, 'objective': 'Logloss', 'colsample_bylevel': 0.47625812110644694, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.31610379137725264}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:10:18,920] Trial 31 finished with value: 0.8185548649441801 and parameters: {'iterations': 128, 'learning_rate': 0.3848903560639683, 'objective': 'Logloss', 'colsample_bylevel': 0.7797089625454958, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.9183643787977966}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:10:24,416] A new study created in RDB with name: catboost-num_features-12
[I 2025-04-07 22:11:27,612] Trial 0 finished with value: 0.8196870809983464 and parameters: {'iterations': 164, 'learning_rate': 0.21452421430497562, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5744820300507832, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9337456176876163}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:11:50,822] Trial 1 finished with value: 0.7558369665114987 and parameters: {'iterations': 218, 'learning_rate': 0.0012606625147606383, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.1749662344107787, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.635373863157556}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:12:26,358] Trial 2 finished with value: 0.8123089616051706 and parameters: {'iterations': 106, 'learning_rate': 0.14547417687696, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7093760007266459, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.13132964854156107}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:12:33,116] Trial 3 finished with value: 0.8061035987354608 and parameters: {'iterations': 131, 'learning_rate': 0.23965571463051175, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9725121982577188, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS', 'subsample': 0.2650295016009724}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:12:55,999] Trial 4 finished with value: 0.793862187006314 and parameters: {'iterations': 239, 'learning_rate': 0.02138569207785712, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.6245168733789214, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.000546123826296}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:13:00,583] Trial 5 finished with value: 0.7922690713297872 and parameters: {'iterations': 113, 'learning_rate': 0.03355688427500739, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.6358673104815471, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS', 'subsample': 0.41698570628439413}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:13:06,912] Trial 6 finished with value: 0.7738228942064207 and parameters: {'iterations': 86, 'learning_rate': 0.0436708369280351, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.13126152357694487, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8065833365271323}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:13:26,926] Trial 7 finished with value: 0.7611194054767415 and parameters: {'iterations': 202, 'learning_rate': 0.017263006275716135, 'objective': 'Logloss', 'colsample_bylevel': 0.1019435428933863, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.566051046669409}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:13:28,908] Trial 8 finished with value: 0.8136918186275285 and parameters: {'iterations': 70, 'learning_rate': 0.31620665165076883, 'objective': 'Logloss', 'colsample_bylevel': 0.41457742885859705, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5100612570410897}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:13:34,031] Trial 9 finished with value: 0.7939043617468075 and parameters: {'iterations': 165, 'learning_rate': 0.036162374074974614, 'objective': 'Logloss', 'colsample_bylevel': 0.3589357575709161, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.11785026957810078}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:13:39,499] Trial 10 finished with value: 0.8002770528994254 and parameters: {'iterations': 169, 'learning_rate': 0.8936858555326442, 'objective': 'Logloss', 'colsample_bylevel': 0.8599130996908328, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.3967508888578273}. Best is trial 0 with value: 0.8196870809983464.
